publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p802773,earthquake,2023-10-25T00:37:35.815Z,2023-10-25T00:41:06.646Z,171.0572815,-43.70592117,2.279055152,9.652791023,MLv,,LOCSAT,confirmed,manual,iasp91,20,15,6,0.009030062705,88.50131226,0.6136006808,0.163393516
2023p802196,earthquake,2023-10-24T19:30:17.496Z,2023-10-24T19:35:08.273Z,167.6391296,-44.9430275,2.513988041,58.28573608,MLv,,LOCSAT,confirmed,manual,iasp91,21,16,3,0.338435322,184.0971184,0.5448355759,0.3004285609
2023p800537,earthquake,2023-10-24T04:46:38.397Z,2023-10-24T05:05:53.494Z,173.1849976,-41.35645294,2.773387426,86.28885651,MLv,,LOCSAT,confirmed,manual,iasp91,32,21,14,0.05366877839,73.15714264,0.563712095,0.2168927434
2023p799537,earthquake,2023-10-23T19:53:45.563Z,2023-10-23T20:16:40.086Z,173.095871,-42.10325241,2.286901999,33.01955414,MLv,,LOCSAT,confirmed,manual,iasp91,26,18,10,0.1211795583,49.29167175,0.361564191,0.2038937275
2023p798890,earthquake,2023-10-23T14:08:36.809Z,2023-10-23T14:25:48.548Z,171.7798462,-42.74069977,2.012632178,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,7,0.2479003817,87.43549085,0.5696286122,0.2302541972
2023p798327,earthquake,2023-10-23T09:09:04.193Z,2023-11-08T22:57:44.304Z,171.7832947,-42.73765182,5.141187882,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,31,20,112,0.2502634227,53.42201954,0.4975290588,0
2023p797683,earthquake,2023-10-23T03:25:59.297Z,2023-11-08T20:09:04.450Z,172.606781,-41.19966888,3.021347226,153.389679,MLv,,LOCSAT,confirmed,manual,iasp91,39,25,18,0.2293412685,123.4138489,0.4840238649,0.2149855822
2023p797392,earthquake,2023-10-23T00:50:31.863Z,2023-10-23T00:57:13.959Z,170.7286072,-43.14025879,2.025578301,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,9,3,0.06614935398,99.15457869,0.3758891149,0.07862697141
2023p797358,earthquake,2023-10-23T00:31:56.734Z,2023-10-23T00:43:02.738Z,168.9274139,-44.21411896,2.453867254,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,2,0.1740336567,86.97737122,0.7986853506,0.4082638288
2023p796871,earthquake,2023-10-22T20:13:02.809Z,2023-11-08T00:22:59.286Z,167.778656,-44.87627411,3.580909656,35.61389542,MLv,,LOCSAT,confirmed,manual,iasp91,29,21,11,0.2285850793,151.3567772,0.6629807629,0.4194331897
2023p795657,earthquake,2023-10-22T09:26:09.475Z,2023-11-08T00:19:52.381Z,167.2347717,-45.32517242,3.206628475,65.58641815,MLv,,LOCSAT,confirmed,manual,iasp91,28,19,6,0.1508345008,110.7760582,0.4090684086,0.2370822697
2023p795344,earthquake,2023-10-22T06:39:29.944Z,2023-10-22T06:57:12.342Z,172.8934326,-41.88708878,2.053811614,46.74331665,MLv,,LOCSAT,confirmed,manual,iasp91,18,14,3,0.1248302609,65.84686279,0.4498497022,0.2118188091
2023p795069,earthquake,2023-10-22T04:12:53.231Z,2023-11-08T00:06:34.136Z,167.3017578,-45.35773468,2.99722166,97.36897278,MLv,,LOCSAT,confirmed,manual,iasp91,34,19,5,0.1494908631,102.8561478,0.6640193988,0.3305741076
2023p794405,earthquake,2023-10-21T22:19:15.515Z,2023-10-21T22:24:29.918Z,168.377655,-44.56990814,2.274129361,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,12,3,0.2951914966,138.6087093,0.5712942412,0.1924490848
2023p793863,earthquake,2023-10-21T17:30:32.405Z,2023-10-21T17:36:15.519Z,166.9753265,-45.75644684,2.431065026,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,2,0.3174516559,236.0625114,0.4210073484,0.1191562362
